"F","A","M","E","I","U"
2,40,17,8,"0","0"
9,46,16,7,"0","0"
7,35,17,8,"0","0"
0,48,21,6,"0","0"
6,37,24,16,"0","0"
5,43,20,8,"0","0"
11,48,17,6,"0","0"
8,45,19,6,"0","0"
8,41,20,8,"0","0"
5,36,18,8,"0","0"
9,41,19,5,"0","0"
10,42,18,1,"1","0"
12,42,19,0,"1","0"
13,37,13,0,"1","0"
6,39,9,0,"1","0"
7,36,15,5,"1","0"
4,41,22,16,"0","0"
8,39,19,4,"0","0"
5,45,19,5,"1","0"
8,40,17,0,"1","0"
6,45,13,0,"1","0"
7,46,11,0,"1","0"
5,39,14,3,"1","0"
5,35,12,6,"1","0"
9,39,22,0,"1","0"
3,48,12,3,"1","0"
10,40,15,6,"1","0"
9,44,13,0,"1","0"
7,49,20,0,"1","0"
4,39,17,7,"1","0"
9,45,15,0,"1","0"
7,38,15,4,"1","0"
8,36,16,0,"1","0"
11,39,12,4,"1","0"
12,42,14,0,"1","0"
8,39,14,8,"1","0"
12,40,18,5,"1","0"
7,42,26,4,"1","0"
2,42,24,0,"1","0"
5,42,19,8,"0","1"
7,47,20,5,"0","1"
0,47,14,8,"0","1"
3,37,20,0,"1","1"
1,38,17,8,"1","1"
6,49,16,8,"1","1"
5,35,15,0,"1","1"
4,35,14,8,"1","1"
7,40,18,2,"1","1"
6,45,20,0,"1","1"
7,35,17,3,"1","1"
1,39,25,8,"1","1"
8,42,17,5,"1","1"
7,35,16,5,"1","1"
1,38,15,3,"1","1"
8,47,17,2,"1","1"
5,35,14,4,"1","1"
10,40,11,0,"1","1"
7,35,27,0,"1","1"
0,43,15,8,"1","1"
10,41,16,7,"1","1"
8,44,12,1,"1","1"
6,35,14,0,"1","1"
8,43,12,5,"1","1"
11,41,13,0,"1","1"
11,45,13,0,"1","1"
2,38,15,8,"0","0"
4,48,18,0,"1","0"
1,47,14,0,"1","0"
8,36,17,0,"1","0"
6,43,18,6,"1","0"
7,35,17,0,"1","0"
7,41,16,0,"1","0"
8,35,12,0,"1","0"
5,35,15,4,"1","0"
4,37,14,0,"1","0"
9,47,15,0,"1","0"
5,45,17,0,"1","0"
9,40,16,0,"1","0"
4,39,14,8,"1","0"
7,38,14,0,"1","0"
12,45,15,0,"1","0"
2,35,18,0,"1","0"
7,48,14,0,"1","0"
6,43,12,7,"0","1"
9,37,18,5,"0","1"
7,39,18,15,"0","1"
6,39,20,8,"0","1"
1,40,20,5,"0","1"
2,37,18,8,"0","1"
2,49,13,0,"1","1"
7,37,18,4,"1","1"
6,38,20,0,"1","1"
11,39,20,0,"1","1"
9,40,13,0,"1","1"
2,39,18,0,"1","1"
1,42,17,0,"1","1"
4,43,19,4,"1","1"
5,48,17,0,"1","1"
7,46,23,2,"1","1"
5,42,12,0,"1","1"
8,46,15,0,"1","1"
4,36,16,6,"1","1"
10,45,22,8,"0","1"
2,42,17,10,"0","1"
6,39,23,10,"0","1"
7,45,19,6,"1","1"
6,41,15,2,"1","1"
8,45,16,4,"1","1"
3,44,17,6,"1","1"
6,37,18,8,"1","1"
5,48,20,5,"1","1"
4,37,17,8,"1","1"
7,41,15,5,"1","1"
5,42,22,12,"1","1"
1,41,16,5,"0","1"
8,44,14,0,"1","1"
6,46,14,3,"1","1"
7,46,19,3,"0","0"
10,44,17,8,"0","0"
3,40,15,4,"0","0"
9,40,12,4,"1","0"
4,47,16,0,"1","0"
9,42,13,1,"1","0"
2,37,24,4,"1","0"
10,42,13,0,"1","0"
3,41,16,0,"1","0"
6,40,16,0,"1","0"
6,44,28,0,"1","0"
6,35,15,0,"1","0"
6,39,15,0,"1","0"
9,43,17,0,"1","0"
5,38,20,6,"1","0"
7,35,19,0,"1","0"
7,41,18,8,"1","0"
10,49,14,0,"1","0"
7,40,21,15,"0","0"
5,47,16,5,"1","0"
7,37,16,3,"1","0"
10,37,14,3,"1","0"
6,46,16,3,"1","0"
4,38,14,8,"1","0"
1,39,16,0,"1","0"
8,49,16,0,"1","0"
6,41,13,0,"1","0"
9,42,11,5,"1","0"
6,49,15,2,"1","0"
4,35,23,0,"1","0"
5,42,20,0,"1","0"
6,37,15,6,"1","0"
8,38,16,1,"1","0"
5,39,19,0,"1","0"
0,37,36,2,"1","0"
5,36,18,5,"1","0"
9,46,16,0,"1","0"
8,38,18,5,"1","0"
8,44,23,2,"1","0"
1,42,18,0,"1","0"
3,45,19,0,"1","0"
4,39,20,3,"1","0"
3,36,19,0,"1","0"
2,40,15,8,"1","0"
1,42,17,0,"1","0"
7,41,13,7,"1","0"
4,37,16,8,"1","0"
11,40,13,0,"1","0"
3,37,14,4,"1","0"
7,39,13,0,"1","0"
8,44,19,2,"1","0"
8,36,11,0,"1","0"
6,44,13,0,"1","0"
3,37,15,6,"0","1"
5,45,23,6,"0","1"
2,44,18,4,"0","1"
7,38,19,8,"0","1"
8,48,21,5,"0","1"
