      CASEID, YEAR, CAPPUN, GUNLAW, SEX, ABRAPE, CONFINAN, SATJOB
2006   1,2006,1,2,2,2,1,1
2006   2,2006,1,0,1,0,1,1
2006   3,2006,2,0,2,0,2,0
2006   4,2006,2,1,2,1,0,2
2006   5,2006,2,1,1,1,0,0
2006   6,2006,1,0,2,0,8,1
2006   7,2006,2,1,2,1,3,1
2006   8,2006,0,0,2,0,0,0
2006   9,2006,1,1,2,1,1,3
2006  10,2006,2,1,2,1,0,1
2006  11,2006,2,1,2,1,2,0
2006  12,2006,1,1,1,2,0,0
2006  13,2006,2,1,1,1,3,0
2006  14,2006,2,0,1,0,2,2
2006  15,2006,8,0,2,0,2,1
2006  16,2006,0,0,2,0,0,0
2006  17,2006,2,1,1,8,0,0
2006  18,2006,2,0,2,0,8,0
2006  19,2006,8,1,2,2,2,2
2006  20,2006,0,0,2,0,0,0
2006  21,2006,2,0,2,0,3,2
2006  22,2006,2,2,1,1,3,0
2006  23,2006,0,0,2,0,0,0
2006  24,2006,0,0,1,0,0,0
2006  25,2006,0,0,2,0,0,0
2006  26,2006,0,0,1,0,0,0
2006  27,2006,2,1,2,1,2,1
2006  28,2006,0,0,1,0,0,0
2006  29,2006,8,1,2,8,0,0
2006  30,2006,0,0,1,0,0,0
2006  31,2006,8,8,2,1,8,1
2006  32,2006,0,0,2,0,0,0
2006  33,2006,0,0,2,0,0,0
2006  34,2006,2,1,2,1,0,1
2006  35,2006,1,0,2,0,2,2
2006  36,2006,0,0,2,0,0,0
2006  37,2006,0,0,2,0,0,0
2006  38,2006,1,1,1,1,8,2
2006  39,2006,0,0,2,0,0,0
2006  40,2006,1,0,2,0,2,3
2006  41,2006,1,0,2,0,1,1
2006  42,2006,0,0,1,0,0,0
2006  43,2006,8,0,1,0,8,0
2006  44,2006,8,0,1,0,2,0
2006  45,2006,0,0,2,0,0,0
2006  46,2006,0,0,2,0,0,0
2006  47,2006,1,0,1,0,1,0
2006  48,2006,0,0,1,0,0,0
2006  49,2006,0,0,1,0,0,0
2006  50,2006,0,0,2,0,0,0
2006  51,2006,2,0,2,0,3,2
2006  52,2006,2,0,2,0,3,0
2006  53,2006,2,1,2,1,1,1
2006  54,2006,2,1,2,1,2,1
2006  55,2006,2,0,2,0,3,1
2006  56,2006,2,1,2,1,0,0
2006  57,2006,2,1,1,8,1,1
2006  58,2006,1,1,2,1,0,0
2006  59,2006,8,1,1,8,2,2
2006  60,2006,0,0,2,0,0,0
2006  61,2006,2,0,1,0,3,1
2006  62,2006,1,8,1,8,0,1
2006  63,2006,0,0,1,0,0,0
2006  64,2006,0,0,1,0,0,0
2006  65,2006,1,0,2,0,2,1
2006  66,2006,1,0,2,0,2,2
2006  67,2006,8,1,1,1,0,2
2006  68,2006,8,0,2,0,8,1
2006  69,2006,8,0,2,0,8,2
2006  70,2006,1,1,1,1,2,2
2006  71,2006,1,0,1,0,2,1
2006  72,2006,8,1,2,1,2,0
2006  73,2006,8,1,1,8,0,1
2006  74,2006,1,0,1,0,2,0
2006  75,2006,0,0,1,0,0,0
2006  76,2006,1,0,2,0,1,1
2006  77,2006,1,0,1,0,1,2
2006  78,2006,0,0,2,0,0,0
2006  79,2006,0,0,1,0,0,0
2006  80,2006,1,0,2,0,1,1
2006  81,2006,1,1,1,1,0,2
2006  82,2006,0,0,2,0,0,0
2006  83,2006,2,0,2,0,3,0
2006  84,2006,2,1,2,1,0,1
2006  85,2006,2,0,1,0,1,0
2006  86,2006,1,1,2,2,0,2
2006  87,2006,1,0,2,0,1,3
2006  88,2006,2,1,2,2,1,1
2006  89,2006,1,1,1,1,0,9
2006  90,2006,1,1,2,1,1,0
2006  91,2006,1,1,2,1,0,2
2006  92,2006,0,0,1,0,0,0
2006  93,2006,1,0,1,0,2,1
2006  94,2006,2,1,1,1,2,0
2006  95,2006,1,1,2,1,0,2
2006  96,2006,1,1,2,8,3,1
2006  97,2006,1,1,1,1,2,1
2006  98,2006,1,1,2,1,0,4
2006  99,2006,0,0,1,0,0,0
2006 100,2006,0,0,1,0,0,0
2006 101,2006,2,1,2,2,0,2
2006 102,2006,0,0,2,0,0,0
2006 103,2006,2,0,2,0,2,2
2006 104,2006,2,2,2,2,0,2
2006 105,2006,1,0,1,0,3,1
2006 106,2006,1,0,1,0,1,3
2006 107,2006,1,1,2,1,3,0
2006 108,2006,2,0,2,0,3,0
2006 109,2006,0,0,2,0,0,0
2006 110,2006,2,0,1,0,2,2
2006 111,2006,2,1,2,1,0,2
2006 112,2006,1,1,1,1,0,2
2006 113,2006,1,0,1,0,2,1
2006 114,2006,1,8,1,1,2,2
2006 115,2006,8,0,2,0,2,2
2006 116,2006,0,0,2,0,0,0
2006 117,2006,8,0,2,0,2,2
2006 118,2006,1,1,2,1,2,1
2006 119,2006,0,0,2,0,0,0
2006 120,2006,1,0,2,0,2,0
2006 121,2006,0,0,2,0,0,0
2006 122,2006,2,1,2,2,0,2
2006 123,2006,2,1,2,1,2,2
2006 124,2006,0,0,1,0,0,0
2006 125,2006,2,1,1,2,0,0
2006 126,2006,0,0,1,0,0,0
2006 127,2006,0,0,2,0,0,0
2006 128,2006,0,0,2,0,0,0
2006 129,2006,2,0,1,0,2,2
2006 130,2006,0,0,2,0,0,0
2006 131,2006,2,1,1,1,3,2
2006 132,2006,1,1,1,1,2,2
2006 133,2006,1,1,1,1,2,2
