L H C R
"0" "1" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "1" "1" "Ontario"
"1" "0" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"1" "0" "1" "Ontario"
"0" "0" "1" "Prairie"
"0" "0" "1" "Prairie"
"0" "1" "1" "Atlantic"
"0" "1" "1" "Atlantic"
"0" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "0" "0" "Ontario"
"0" "1" "0" "Ontario"
"0" "1" "1" "Prairie"
"1" "0" "0" "Prairie"
"1" "0" "0" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Prairie"
"1" "0" "1" "Prairie"
"0" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "0" "0" "Ontario"
"0" "0" "0" "Ontario"
"0" "1" "0" "Ontario"
"0" "1" "1" "Ontario"
"1" "1" "0" "Ontario"
"0" "0" "1" "Atlantic"
"0" "0" "0" "Atlantic"
"0" "0" "1" "BC"
"0" "0" "1" "Ontario"
"0" "1" "0" "Ontario"
"0" "1" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "1" "1" "Prairie"
"1" "1" "0" "Prairie"
"0" "0" "1" "Prairie"
"0" "0" "1" "Prairie"
"0" "0" "0" "Ontario"
"0" "0" "0" "Ontario"
"0" "0" "1" "Atlantic"
"0" "1" "0" "Atlantic"
"0" "1" "1" "Atlantic"
"0" "1" "1" "Atlantic"
"0" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"1" "0" "0" "Ontario"
"1" "1" "0" "Ontario"
"0" "0" "1" "Ontario"
"0" "1" "0" "Prairie"
"0" "0" "1" "Prairie"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "0" "1" "Atlantic"
"0" "1" "1" "Prairie"
"0" "1" "1" "BC"
"1" "0" "0" "Ontario"
"0" "1" "1" "Ontario"
"1" "1" "1" "Ontario"
"1" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"1" "1" "0" "BC"
"1" "1" "1" "BC"
"1" "1" "0" "Ontario"
"0" "1" "0" "Ontario"
"0" "1" "0" "Ontario"
"0" "1" "0" "Ontario"
"0" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"1" "1" "0" "Ontario"
"1" "1" "0" "Ontario"
"0" "1" "1" "Ontario"
"1" "0" "0" "Atlantic"
"0" "1" "1" "Atlantic"
"0" "1" "1" "Atlantic"
"0" "1" "0" "BC"
"0" "0" "0" "BC"
"0" "0" "0" "BC"
"0" "0" "1" "Prairie"
"0" "1" "1" "Ontario"
"0" "1" "1" "Atlantic"
"0" "0" "1" "Atlantic"
"0" "0" "1" "Atlantic"
"1" "1" "1" "Atlantic"
"0" "0" "1" "Atlantic"
"0" "0" "1" "Atlantic"
"0" "0" "1" "Prairie"
"0" "0" "1" "Prairie"
"0" "1" "0" "BC"
"0" "1" "0" "BC"
"1" "1" "0" "BC"
"0" "1" "1" "Ontario"
"0" "0" "1" "Atlantic"
"0" "1" "1" "Atlantic"
"1" "0" "0" "Ontario"
"1" "0" "0" "Ontario"
"0" "0" "1" "Prairie"
"0" "0" "1" "Ontario"
"0" "1" "1" "Atlantic"
"0" "0" "1" "Prairie"
"0" "0" "1" "Prairie"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "0" "1" "Ontario"
"1" "0" "0" "Ontario"
"1" "0" "0" "Ontario"
"1" "0" "1" "Ontario"
"1" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "0" "1" "Ontario"
"0" "0" "1" "Prairie"
"0" "0" "1" "Prairie"
"0" "0" "1" "Prairie"
"0" "0" "1" "Atlantic"
"0" "0" "1" "Atlantic"
"0" "1" "1" "BC"
"1" "0" "0" "BC"
"0" "1" "0" "BC"
"1" "0" "0" "BC"
"1" "0" "0" "BC"
"0" "0" "0" "BC"
"0" "1" "1" "BC"
"0" "0" "1" "BC"
"0" "1" "1" "BC"
"0" "1" "1" "BC"
"0" "0" "1" "BC"
"1" "1" "0" "Ontario"
"1" "1" "0" "Ontario"
"0" "1" "1" "Ontario"
"0" "1" "1" "Atlantic"
"1" "0" "1" "Atlantic"
"1" "0" "0" "Prairie"
"1" "0" "0" "Prairie"
"0" "0" "1" "Atlantic"
"0" "1" "1" "Ontario"
"1" "0" "0" "Ontario"
"0" "1" "1" "Atlantic"
"0" "0" "1" "BC"
"1" "0" "1" "Prairie"
"0" "1" "1" "Ontario"
"0" "0" "1" "Ontario"
"1" "0" "0" "Ontario"
"1" "0" "0" "Ontario"
"1" "1" "0" "Ontario"
"0" "1" "1" "Ontario"
"1" "0" "0" "Ontario"
"0" "0" "0" "BC"
"1" "0" "0" "BC"
"1" "1" "1" "Atlantic"
"1" "1" "0" "Atlantic"
"1" "1" "0" "Ontario"
"1" "1" "0" "Ontario"
"0" "0" "0" "Ontario"
"0" "1" "1" "BC"
"0" "0" "1" "BC"
"0" "0" "1" "BC"
"1" "0" "1" "Atlantic"
"0" "1" "1" "BC"
"0" "1" "1" "Prairie"
"0" "1" "1" "BC"
"0" "0" "1" "Prairie"
"0" "1" "1" "Prairie"
"0" "1" "1" "Prairie"
"1" "0" "1" "Prairie"
"1" "0" "1" "Prairie"
"0" "1" "1" "Ontario"
"1" "0" "0" "Quebec"
"1" "0" "0" "Quebec"
"1" "1" "1" "Quebec"
"0" "0" "1" "Quebec"
"0" "1" "1" "Quebec"
"0" "1" "1" "Quebec"
"0" "0" "1" "Quebec"
"0" "1" "1" "Quebec"
"0" "0" "1" "Quebec"
"1" "0" "0" "Quebec"
"0" "0" "1" "Quebec"
"1" "0" "0" "Quebec"
